totim,api,chd,in-out,percent-discrepancy,sto-ss,sto-sy,total,wel
521.0,122817.35,-2.141002e-09,6.7923e-07,0.0,-5.5436,5.5429688,0.0,-122817.35
531.0,124889.45,-2.141002e-09,7.3641e-07,0.0,-5.5558014,5.5585938,0.0,-124889.45
541.0,126958.41,-2.141002e-09,7.9637e-07,0.0,-5.5676994,5.5664062,0.0,-126958.41
551.0,129024.33,-2.141002e-09,8.5917e-07,0.0,-5.579401,5.5820312,0.0,-129024.33
561.0,131087.31,-2.141002e-09,9.2483e-07,0.0,-5.5908985,5.5898438,0.0,-131087.31
571.0,133147.47,-2.141002e-09,9.9337e-07,0.0,-5.6021996,5.6054688,0.0,-133147.47
581.0,135204.88,-2.141002e-09,1.0648e-06,0.0,-5.6133003,5.6132812,0.0,-135204.88
591.0,137259.64,-2.141002e-09,1.1392e-06,0.0,-5.624199,5.625,0.0,-137259.64
601.0,139311.83,-2.141002e-09,1.2163e-06,0.0,-5.6349983,5.6367188,0.0,-139311.83
611.0,141361.53,-2.141002e-09,1.2961e-06,0.0,-5.6456013,5.6445312,0.0,-141361.53
621.0,143408.83,-2.141002e-09,1.3786e-06,0.0,-5.656101,5.65625,0.0,-143408.83
631.0,145453.78,-2.141002e-09,1.4636e-06,0.0,-5.6663,5.6640625,0.0,-145453.78
641.0,147496.45,-2.141002e-09,1.551e-06,0.0,-5.6765003,5.6757812,0.0,-147496.45
651.0,149536.92,-2.141002e-09,1.6406e-06,0.0,-5.6865005,5.6875,0.0,-149536.92
661.0,151575.25,-2.141002e-09,1.7322e-06,0.0,-5.6963997,5.6992188,0.0,-151575.25
671.0,153611.5,-2.141002e-09,1.8258e-06,0.0,-5.7061005,5.703125,0.0,-153611.5
681.0,155645.72,-2.141002e-09,1.9212e-06,0.0,-5.7157993,5.71875,0.0,-155645.72
691.0,157677.97,-2.141002e-09,2.0182e-06,0.0,-5.7253,5.7265625,0.0,-157677.97
701.0,159708.31,-2.141002e-09,2.1166e-06,0.0,-5.7348003,5.734375,0.0,-159708.31
711.0,161736.78,-2.141002e-09,2.2162e-06,0.0,-5.7439995,5.7460938,0.0,-161736.78
721.0,163763.42,-2.141002e-09,2.3168e-06,0.0,-5.7532005,5.7539062,0.0,-163763.42
731.0,165788.31,-2.141002e-09,2.4184e-06,0.0,-5.7623005,5.7617188,0.0,-165788.31
741.0,167811.45,-2.141002e-09,2.5207e-06,0.0,-5.7712994,5.7695312,0.0,-167811.45
751.0,169832.92,-2.141002e-09,2.6235e-06,0.0,-5.780201,5.78125,0.0,-169832.92
761.0,171852.75,-2.141002e-09,2.7267e-06,0.0,-5.7889996,5.7890625,0.0,-171852.75
771.0,173870.98,-2.141002e-09,2.8303e-06,0.0,-5.797699,5.796875,0.0,-173870.98
781.0,175887.66,-2.141002e-09,2.9339e-06,0.0,-5.8064003,5.8046875,0.0,-175887.66
791.0,177902.78,-2.141002e-09,3.0374e-06,0.0,-5.8149014,5.8125,0.0,-177902.78
801.0,179916.44,-2.141002e-09,3.1407e-06,0.0,-5.8234005,5.8242188,0.0,-179916.44
811.0,181928.62,-2.141002e-09,3.2437e-06,0.0,-5.8318005,5.8320312,0.0,-181928.62
821.0,183939.4,-2.141002e-09,3.3462e-06,0.0,-5.8400993,5.8398438,0.0,-183939.4
831.0,185948.78,-2.141002e-09,3.448e-06,0.0,-5.848398,5.8476562,0.0,-185948.78
841.0,187956.8,-2.141002e-09,3.5492e-06,0.0,-5.8565025,5.859375,0.0,-187956.8
851.0,189963.5,-2.141002e-09,3.6496e-06,0.0,-5.8645973,5.8671875,0.0,-189963.5
861.0,191968.89,-2.141002e-09,3.749e-06,0.0,-5.8726025,5.8710938,0.0,-191968.89
871.0,193973.0,-2.141002e-09,3.8474e-06,0.0,-5.880699,5.8789062,0.0,-193973.0
881.0,195975.88,-2.141002e-09,3.9446e-06,0.0,-5.8884983,5.8867188,0.0,-195975.88
891.0,197977.53,-2.141002e-09,4.0405e-06,0.0,-5.8964005,5.8984375,0.0,-197977.53
901.0,199978.0,-2.141002e-09,4.1351e-06,0.0,-5.9041004,5.90625,0.0,-199978.0
911.0,201977.28,-2.141002e-09,4.2284e-06,0.0,-5.9118977,5.9101562,0.0,-201977.28
921.0,203975.44,-2.141002e-09,4.3201e-06,0.0,-5.9195023,5.921875,0.0,-203975.44
931.0,205972.45,-2.141002e-09,4.4102e-06,0.0,-5.927099,5.9257812,0.0,-205972.45
941.0,207968.39,-2.141002e-09,4.4989e-06,0.0,-5.9347,5.9335938,0.0,-207968.39
951.0,209963.23,-2.141002e-09,4.5857e-06,0.0,-5.9421997,5.9414062,0.0,-209963.23
961.0,211957.02,-2.141002e-09,4.6708e-06,0.0,-5.9496,5.9453125,0.0,-211957.02
971.0,213949.78,-2.141002e-09,4.7542e-06,0.0,-5.956999,5.953125,0.0,-213949.78
981.0,215941.52,-2.141002e-09,4.8358e-06,0.0,-5.9643993,5.9609375,0.0,-215941.52
991.0,217932.25,-2.141002e-09,4.9155e-06,0.0,-5.971798,5.96875,0.0,-217932.25
1001.0,219922.02,-2.141002e-09,4.9933e-06,0.0,-5.979002,5.9765625,0.0,-219922.02
