time,period,step,boundnumber,cellnumber,rate-requested,rate-actual,wel-reduction
811.0000000000000,2,81,1,76,-270.0000000000000,-201.2193077909511,-68.78069220904894
821.0000000000000,2,82,1,76,-270.0000000000000,-201.0770718581145,-68.92292814188548
831.0000000000000,2,83,1,76,-270.0000000000000,-200.9380461746132,-69.06195382538678
841.0000000000000,2,84,1,76,-270.0000000000000,-200.8021208260255,-69.19787917397446
851.0000000000000,2,85,1,76,-270.0000000000000,-200.6691909843952,-69.33080901560481
861.0000000000000,2,86,1,76,-270.0000000000000,-200.5391566133883,-69.46084338661174
871.0000000000000,2,87,1,76,-270.0000000000000,-200.4119221940937,-69.58807780590629
881.0000000000000,2,88,1,76,-270.0000000000000,-200.2873964697715,-69.71260353022848
891.0000000000000,2,89,1,76,-270.0000000000000,-200.1654922080067,-69.83450779199333
901.0000000000000,2,90,1,76,-270.0000000000000,-200.0461259788694,-69.95387402113056
911.0000000000000,2,91,1,76,-270.0000000000000,-199.9292179478149,-70.07078205218508
921.0000000000000,2,92,1,76,-270.0000000000000,-199.8146916821636,-70.18530831783644
931.0000000000000,2,93,1,76,-270.0000000000000,-199.7024739701239,-70.29752602987605
941.0000000000000,2,94,1,76,-270.0000000000000,-199.5924946513885,-70.40750534861147
951.0000000000000,2,95,1,76,-270.0000000000000,-199.4846864584476,-70.51531354155244
961.0000000000000,2,96,1,76,-270.0000000000000,-199.3789848678168,-70.62101513218323
971.0000000000000,2,97,1,76,-270.0000000000000,-199.2753279604512,-70.72467203954881
981.0000000000000,2,98,1,76,-270.0000000000000,-199.1736562906887,-70.82634370931132
991.0000000000000,2,99,1,76,-270.0000000000000,-199.0739127631063,-70.92608723689372
1001.000000000000,2,100,1,76,-270.0000000000000,-198.9760425167302,-71.02395748326981
