time,period,step,boundnumber,cellnumber,rate-requested,rate-actual,wel-reduction
171.0000000000000,2,17,1,76,-270.0000000000000,-267.5473095852633,-2.452690414736708
181.0000000000000,2,18,1,76,-270.0000000000000,-258.7969488090238,-11.20305119097623
191.0000000000000,2,19,1,76,-270.0000000000000,-249.8397633765134,-20.16023662348664
201.0000000000000,2,20,1,76,-270.0000000000000,-242.7839885692485,-27.21601143075154
211.0000000000000,2,21,1,76,-270.0000000000000,-237.6045490427369,-32.39545095726308
221.0000000000000,2,22,1,76,-270.0000000000000,-233.7972867628349,-36.20271323716509
231.0000000000000,2,23,1,76,-270.0000000000000,-230.9051340646782,-39.09486593532185
241.0000000000000,2,24,1,76,-270.0000000000000,-228.6106712227165,-41.38932877728351
251.0000000000000,2,25,1,76,-270.0000000000000,-226.7125875921045,-43.28741240789546
261.0000000000000,2,26,1,76,-270.0000000000000,-225.0870666726421,-44.91293332735788
271.0000000000000,2,27,1,76,-270.0000000000000,-223.6579431744354,-46.34205682556461
281.0000000000000,2,28,1,76,-270.0000000000000,-222.3774015533498,-47.62259844665016
291.0000000000000,2,29,1,76,-270.0000000000000,-221.2143601769761,-48.78563982302393
301.0000000000000,2,30,1,76,-270.0000000000000,-220.1477029722838,-49.85229702771625
311.0000000000000,2,31,1,76,-270.0000000000000,-219.1623818164753,-50.83761818352468
321.0000000000000,2,32,1,76,-270.0000000000000,-218.2471678361405,-51.75283216385952
331.0000000000000,2,33,1,76,-270.0000000000000,-217.3933370221643,-52.60666297783570
341.0000000000000,2,34,1,76,-270.0000000000000,-216.5938840158577,-53.40611598414230
351.0000000000000,2,35,1,76,-270.0000000000000,-215.8430365265100,-54.15696347349001
361.0000000000000,2,36,1,76,-270.0000000000000,-215.1359435323425,-54.86405646765752
371.0000000000000,2,37,1,76,-270.0000000000000,-214.4684663599947,-55.53153364000528
381.0000000000000,2,38,1,76,-270.0000000000000,-213.8370326124794,-56.16296738752058
391.0000000000000,2,39,1,76,-270.0000000000000,-213.2385299527620,-56.76147004723802
401.0000000000000,2,40,1,76,-270.0000000000000,-212.6702262077517,-57.32977379224829
411.0000000000000,2,41,1,76,-270.0000000000000,-212.1297075716797,-57.87029242832031
421.0000000000000,2,42,1,76,-270.0000000000000,-211.6148297306520,-58.38517026934798
431.0000000000000,2,43,1,76,-270.0000000000000,-211.1236785173185,-58.87632148268148
441.0000000000000,2,44,1,76,-270.0000000000000,-210.6545377876999,-59.34546221230013
451.0000000000000,2,45,1,76,-270.0000000000000,-210.2058628934005,-59.79413710659946
461.0000000000000,2,46,1,76,-270.0000000000000,-209.7762585655560,-60.22374143444395
471.0000000000000,2,47,1,76,-270.0000000000000,-209.3644603258173,-60.63553967418267
481.0000000000000,2,48,1,76,-270.0000000000000,-208.9693187496164,-61.03068125038359
491.0000000000000,2,49,1,76,-270.0000000000000,-208.5897860586514,-61.41021394134859
501.0000000000000,2,50,1,76,-270.0000000000000,-208.2249046315375,-61.77509536846253
511.0000000000000,2,51,1,76,-270.0000000000000,-207.8737971060023,-62.12620289399771
521.0000000000000,2,52,1,76,-270.0000000000000,-207.5356578105394,-62.46434218946055
531.0000000000000,2,53,1,76,-270.0000000000000,-207.2097453134562,-62.79025468654379
541.0000000000000,2,54,1,76,-270.0000000000000,-206.8953759164170,-63.10462408358302
551.0000000000000,2,55,1,76,-270.0000000000000,-206.5919179505779,-63.40808204942215
561.0000000000000,2,56,1,76,-270.0000000000000,-206.2987867580649,-63.70121324193514
571.0000000000000,2,57,1,76,-270.0000000000000,-206.0154402613990,-63.98455973860098
581.0000000000000,2,58,1,76,-270.0000000000000,-205.7413750394805,-64.25862496051954
591.0000000000000,2,59,1,76,-270.0000000000000,-205.4761228417839,-64.52387715821610
601.0000000000000,2,60,1,76,-270.0000000000000,-205.2192474830812,-64.78075251691877
611.0000000000000,2,61,1,76,-270.0000000000000,-204.9703420697913,-65.02965793020869
621.0000000000000,2,62,1,76,-270.0000000000000,-204.7290265163023,-65.27097348369773
631.0000000000000,2,63,1,76,-270.0000000000000,-204.4949453156673,-65.50505468433269
641.0000000000000,2,64,1,76,-270.0000000000000,-204.2677655340968,-65.73223446590316
651.0000000000000,2,65,1,76,-270.0000000000000,-204.0471750154014,-65.95282498459864
661.0000000000000,2,66,1,76,-270.0000000000000,-203.8328807881728,-66.16711921182724
671.0000000000000,2,67,1,76,-270.0000000000000,-203.6246075876828,-66.37539241231721
681.0000000000000,2,68,1,76,-270.0000000000000,-203.4220964990957,-66.57790350090431
691.0000000000000,2,69,1,76,-270.0000000000000,-203.2251037212841,-66.77489627871594
701.0000000000000,2,70,1,76,-270.0000000000000,-203.0333994432297,-66.96660055677029
711.0000000000000,2,71,1,76,-270.0000000000000,-202.8467668226968,-67.15323317730324
721.0000000000000,2,72,1,76,-270.0000000000000,-202.6650010567174,-67.33499894328259
731.0000000000000,2,73,1,76,-270.0000000000000,-202.4879085341690,-67.51209146583099
741.0000000000000,2,74,1,76,-270.0000000000000,-202.3153060617295,-67.68469393827047
751.0000000000000,2,75,1,76,-270.0000000000000,-202.1470201555187,-67.85297984448127
761.0000000000000,2,76,1,76,-270.0000000000000,-201.9828863917090,-68.01711360829097
771.0000000000000,2,77,1,76,-270.0000000000000,-201.8227488101502,-68.17725118984984
781.0000000000000,2,78,1,76,-270.0000000000000,-201.6664593658076,-68.33354063419239
791.0000000000000,2,79,1,76,-270.0000000000000,-201.5138774234314,-68.48612257656862
801.0000000000000,2,80,1,76,-270.0000000000000,-201.3648692913754,-68.63513070862464
