totim,api,chd,drn,in-out,percent-discrepancy,sto-ss,sto-sy,total,wel
491.0,210.7205,0.0,-4.6614e-07,-3.2421e-09,-0.0,-0.0012109997,0.20050049,0.0,-210.9198
501.0,210.6187,0.0,-3.5037e-07,9.1759e-10,0.0,-0.0012339996,0.0011997223,0.0,-210.6187
511.0,210.336,0.0,-3.4859e-07,9.4533e-10,0.0,-0.0011599995,0.0011997223,0.0,-210.336
521.0,210.0697,0.0,-3.469e-07,9.1708e-10,0.0,-0.0010930002,0.0011005402,0.0,-210.0697
531.0,209.8182,0.0,-3.4526e-07,8.9443e-10,0.0,-0.0010329997,0.0009994507,0.0,-209.8182
541.0,209.5797,0.0,-3.4364e-07,8.7547e-10,0.0,-0.0009790007,0.0009994507,0.0,-209.5797
551.0,209.3531,0.0,-3.4201e-07,9.0904e-10,0.0,-0.00093100034,0.00090026855,0.0,-209.3531
561.0,209.1371,0.0,-3.4046e-07,9.0589e-10,0.0,-0.00088800024,0.0008983612,0.0,-209.1371
571.0,208.9308,0.0,-3.3897e-07,8.8843e-10,0.0,-0.0008490002,0.0007991791,0.0,-208.9308
581.0,208.7333,0.0,-3.375e-07,8.9034e-10,0.0,-0.00081199966,0.00090026855,0.0,-208.7333
591.0,208.5438,0.0,-3.3609e-07,8.7712e-10,0.0,-0.00078000035,0.0008010864,0.0,-208.5438
601.0,208.3617,0.0,-3.3471e-07,8.7829e-10,0.0,-0.0007489994,0.0008010864,0.0,-208.3617
611.0,208.1864,0.0,-3.3338e-07,8.5515e-10,0.0,-0.00072100013,0.00069999695,0.0,-208.1864
621.0,208.0173,0.0,-3.3209e-07,8.6831e-10,0.0,-0.0006959997,0.00069999695,0.0,-208.0173
631.0,207.8541,0.0,-3.3082e-07,8.5384e-10,0.0,-0.0006719995,0.00069999695,0.0,-207.8541
641.0,207.6964,0.0,-3.2963e-07,8.5078e-10,0.0,-0.0006499998,0.00069999695,0.0,-207.6964
651.0,207.5437,0.0,-3.2842e-07,8.4592e-10,0.0,-0.0006300006,0.0006008148,0.0,-207.5437
661.0,207.3958,0.0,-3.2729e-07,8.346e-10,0.0,-0.0006110007,0.0006008148,0.0,-207.3958
671.0,207.2523,0.0,-3.2621e-07,8.2119e-10,0.0,-0.0005933996,0.00059890747,0.0,-207.2523
681.0,207.1131,0.0,-3.2512e-07,8.271e-10,0.0,-0.00057619996,0.00049972534,0.0,-207.1131
691.0,206.9779,0.0,-3.241e-07,8.2164e-10,0.0,-0.00056080054,0.00059890747,0.0,-206.9779
701.0,206.8465,0.0,-3.231e-07,8.1079e-10,0.0,-0.00054519996,0.00049972534,0.0,-206.8465
711.0,206.7186,0.0,-3.2209e-07,8.4256e-10,0.0,-0.0005314993,0.00049972534,0.0,-206.7186
721.0,206.5941,0.0,-3.2116e-07,8.1994e-10,0.0,-0.00051829964,0.00049972534,0.0,-206.5941
