time,CHD
1.000000000000,-0.426487328E-09
11.00000000000,0.300000000E+31
21.00000000000,0.300000000E+31
31.00000000000,0.300000000E+31
41.00000000000,0.300000000E+31
51.00000000000,0.300000000E+31
61.00000000000,0.300000000E+31
71.00000000000,0.300000000E+31
81.00000000000,0.300000000E+31
91.00000000000,0.300000000E+31
101.0000000000,0.300000000E+31
111.0000000000,0.300000000E+31
121.0000000000,0.300000000E+31
131.0000000000,0.300000000E+31
141.0000000000,0.300000000E+31
151.0000000000,0.300000000E+31
161.0000000000,0.300000000E+31
171.0000000000,0.300000000E+31
181.0000000000,0.300000000E+31
191.0000000000,0.300000000E+31
201.0000000000,0.300000000E+31
211.0000000000,0.300000000E+31
221.0000000000,0.300000000E+31
231.0000000000,0.300000000E+31
241.0000000000,0.300000000E+31
251.0000000000,0.300000000E+31
261.0000000000,0.300000000E+31
271.0000000000,0.300000000E+31
281.0000000000,0.300000000E+31
291.0000000000,0.300000000E+31
301.0000000000,0.300000000E+31
311.0000000000,0.300000000E+31
321.0000000000,0.300000000E+31
331.0000000000,0.300000000E+31
341.0000000000,0.300000000E+31
351.0000000000,0.300000000E+31
361.0000000000,0.300000000E+31
371.0000000000,0.300000000E+31
381.0000000000,0.300000000E+31
391.0000000000,0.300000000E+31
401.0000000000,0.300000000E+31
411.0000000000,0.300000000E+31
421.0000000000,0.300000000E+31
431.0000000000,0.300000000E+31
441.0000000000,0.300000000E+31
451.0000000000,0.300000000E+31
461.0000000000,0.300000000E+31
471.0000000000,0.300000000E+31
481.0000000000,0.300000000E+31
491.0000000000,0.300000000E+31
501.0000000000,0.300000000E+31
511.0000000000,0.300000000E+31
521.0000000000,0.300000000E+31
531.0000000000,0.300000000E+31
541.0000000000,0.300000000E+31
551.0000000000,0.300000000E+31
561.0000000000,0.300000000E+31
571.0000000000,0.300000000E+31
581.0000000000,0.300000000E+31
591.0000000000,0.300000000E+31
601.0000000000,0.300000000E+31
611.0000000000,0.300000000E+31
621.0000000000,0.300000000E+31
631.0000000000,0.300000000E+31
641.0000000000,0.300000000E+31
651.0000000000,0.300000000E+31
661.0000000000,0.300000000E+31
671.0000000000,0.300000000E+31
681.0000000000,0.300000000E+31
691.0000000000,0.300000000E+31
701.0000000000,0.300000000E+31
711.0000000000,0.300000000E+31
721.0000000000,0.300000000E+31
731.0000000000,0.300000000E+31
741.0000000000,0.300000000E+31
751.0000000000,0.300000000E+31
761.0000000000,0.300000000E+31
771.0000000000,0.300000000E+31
781.0000000000,0.300000000E+31
791.0000000000,0.300000000E+31
801.0000000000,0.300000000E+31
811.0000000000,0.300000000E+31
821.0000000000,0.300000000E+31
831.0000000000,0.300000000E+31
841.0000000000,0.300000000E+31
851.0000000000,0.300000000E+31
861.0000000000,0.300000000E+31
871.0000000000,0.300000000E+31
881.0000000000,0.300000000E+31
891.0000000000,0.300000000E+31
901.0000000000,0.300000000E+31
911.0000000000,0.300000000E+31
921.0000000000,0.300000000E+31
931.0000000000,0.300000000E+31
941.0000000000,0.300000000E+31
951.0000000000,0.300000000E+31
961.0000000000,0.300000000E+31
971.0000000000,0.300000000E+31
981.0000000000,0.300000000E+31
991.0000000000,0.300000000E+31
1001.000000000,0.300000000E+31
